DAYS,RATE,GP
312,0.674,578.4
313,0.6524,579
314,0.6288,579.7
315,0.6597,580.3
316,0.6771,581
317,0.6531,581.7
318,0.6385,582.3
319,0.6457,583
320,0.6794,583.6
321,0.6807,584.3
322,0.694,585
323,0.712,585.7
324,0.7017,586.4
325,0.6818,587.1
326,0.6615,587.8
327,0.6564,588.4
328,0.6578,589.1
329,0.6444,589.7
330,0.5717,590.3
331,0.6929,591
332,0.676,591.7
333,0.6662,592.3
334,0.6792,593
335,0.6668,593.7
336,0.5931,594.3
337,0.4433,594.7
338,0.6276,595.3
339,0.5617,595.9
340,0.7589,596.7
341,0.5826,597.2
342,0.6795,597.9
343,0.6876,598.6
344,0.6657,599.3
345,0.6767,600
346,0.5799,600.5
347,0.5197,601.1
348,0.6968,601.7
349,0.6424,602.4
350,0.3891,602.8
351,0.0053,602.8
352,0.9953,603.8
353,0.0484,603.8
354,0.888,604.7
355,0.667,605.4
356,0.229,605.6
357,1.407,607
358,1.407,608.4
359,1.323,609.7
360,1.298,611
361,1.265,612.3
362,1.265,613.6
363,1.205,614.8
364,1.205,616
365,1.435,617.4
366,1.435,618.9
367,1.435,620.3
368,1.353,621.6
369,1.348,623
370,1.352,624.3
371,1.295,625.6
372,1.249,626.9
373,1.24,628.1
374,0.885,629
375,1.223,630.2
376,1.166,631.4
377,1.24,632.6
378,1.184,633.8
379,1.166,635
380,0.074,635.1
381,0.497,635.6
382,1.101,636.7
383,0.505,637.2
384,0.718,637.9
385,0.696,638.6
386,0.674,639.3
387,0.452,639.7
388,0.71,640.4
389,0.552,641
390,0.397,641.4
391,0.8782,642.2
392,0.6266,642.9
393,0.523,643.4
394,0.3909,643.8
395,0.297,644.1
396,0.3374,644.4
397,0.3277,644.7
398,0.1222,644.9
399,0.3021,645.2
400,0.1981,645.4
401,0.0879,645.5
402,0.2179,645.7
403,0.3856,646.1
404,0.467,646.5
405,0.1163,646.6
406,0.2107,646.9
407,0.0674,646.9
408,0.2265,647.2
409,0.1399,647.3
410,0.1552,647.4
411,0.0812,647.5
412,0.1376,647.7
413,0.209,647.9
414,0.0714,647.9
415,0.2604,648.2
416,0.0527,648.3
417,0.1986,648.5
418,0.1986,648.7
419,0.2148,648.9
420,0.0227,648.9
421,0.2697,649.2
422,1.3323,650.5
423,0.1456,650.6
424,0.0792,650.7
425,0.1975,650.9
426,0.0899,651
427,0.1044,651.1
428,0.0531,651.2
429,0.179,651.3
430,0.032,651.4
431,0.3963,651.8
432,0.0485,651.8
433,0.1624,652
434,0.1329,652.1
435,3.8899,656
436,0.3909,656.4
437,0.6901,657.1
438,0.4046,657.5
439,0.6804,658.2
440,0.2823,658.5
441,0.65052,659.1043
442,0.46386,659.5682
443,0.3081,659.8763
444,0.30805,660.1843
445,0.61823,660.8026
446,0.70258,661.5051
447,0.20582,661.711
448,1.7678,663.4788
449,2.87591,666.3547
450,0.87295,667.2276
451,0.86115,668.0888
452,0.52589,668.6147
453,0.67651,669.2912
454,0.33429,669.6255
455,0.88325,670.5087
456,0.47074,670.9795
457,0.33785,671.3173
458,0.88093,672.1982
459,0.52647,672.7247
460,0.68547,673.4102
461,0.52288,673.9331
462,0.54681,674.4799
463,0.54137,675.0212
464,0.42858,675.4498
465,0.67082,676.1206
466,0.7663,676.8869
467,0.65817,677.5451
468,0.21354,677.7586
469,0.72336,678.482
470,0.62792,679.1099
471,0.3489,679.4588
472,0.25661,679.7154
473,0.06289,679.7783
474,1.0197,680.798
475,0.47908,681.2771
476,0.76237,682.0395
477,0.66001,682.6995
478,0.23185,682.9313
479,0.26329,683.1946
480,0.50926,683.7039
